CSV,ExpDay,Pi,dist_mean,dist_std,vel_mean,vel_std,velC_mean,velC_std,head_mean,head_std,pDist_mean,pDist_std,pDistC_mean,pDistC_std,NearN_mean,NearN_std,angleC_mean,angleC_std
./groupCSVs/groupedgecrop_pi33_group_full_180617.csv,82,pi33,236.8650976558907,124.14248553834392,39.90844620481987,19.895472191581216,0.04309055195774022,0.05616937156237377,0.012510045728830665,0.016915988725425476,267.9494823321381,79.40218903686974,0.1429091921684236,0.18585238991665032,130.54189370560604,128.43460056475493,0.008010445902372033,0.010803815623693267
./groupCSVs/groupedgecrop_pi33_group_full_180618.csv,83,pi33,271.6561260698567,129.16557170152413,40.00427904675365,20.477262455071642,0.05723012112438245,0.07407532329049757,0.00710497818765525,0.010849347019333046,270.54466839086456,85.37858300112092,0.105327964412406,0.14468310643025714,153.82556793538723,123.1851164244972,0.005010173327321311,0.009128475765257504
./groupCSVs/groupedgecrop_pi33_group_full_180619.csv,84,pi33,257.9513262123776,122.58302705773426,36.56429787408558,20.485494927158214,0.06755259812108445,0.0876046360255821,0.008580535357695466,0.01231594190970837,258.8727941191167,83.03193928755742,0.12085864081720578,0.15880593297764187,149.34248557154697,127.97538642363419,0.00755532546924338,0.010905632267017507
./groupCSVs/groupedgecrop_pi33_group_full_180620.csv,85,pi33,242.30375120938328,120.95441503646451,32.413416088443334,21.04145806418178,0.06814812949546464,0.08808215610857763,0.015052139460033307,0.019629602112313006,267.43668972295774,84.49021618761202,0.16192921549688477,0.21297644201378818,136.4622850874049,123.5062843223696,0.004510889465867907,0.007812860612821248
./groupCSVs/groupedgecrop_pi33_group_full_180621.csv,86,pi33,237.52177249133035,122.8118149606149,38.84273219881757,21.37195003892882,0.05412002533549226,0.070103046075537,0.020830946765653946,0.029261881885726246,270.0047538173615,84.17041548476472,0.15238363380651254,0.1973536210607528,133.7817971767395,127.15128901875099,0.013032265062638297,0.017412641481612482
./groupCSVs/groupedgecrop_pi33_group_full_180622.csv,87,pi33,258.0055481341304,121.18239471861529,42.34412200902836,21.563284835122342,0.06768248847871347,0.08746236483094855,0.007257680683059375,0.011901652609405587,263.555749008111,84.8679169158873,0.11751541873954326,0.15507305992323003,150.07521120578426,123.86970170695176,0.004678685126669747,0.010022075679318721
./groupCSVs/groupedgecrop_pi33_group_full_180623.csv,88,pi33,275.06204954640697,128.59540050472546,46.280596655253376,21.31718609020684,0.058893481762037306,0.0761515477336307,0.005451026223100936,0.007787971776804246,264.71497888986335,85.90049776768898,0.10226369291468868,0.13677885643025622,155.23097377851602,124.71666884225988,0.0029650035157529923,0.0048126463496199695
./groupCSVs/groupedgecrop_pi33_group_full_180624.csv,89,pi33,276.5764222528557,128.58248545864797,39.63901393704354,20.900730617194863,0.06003321193206006,0.077640307014355,0.00364411640977749,0.008143053558573183,271.5647922179802,78.8512547428114,0.10001803395103064,0.13215296064278295,157.24476708628396,124.5843506748206,0.0037573029063966332,0.0066867821858655405
./groupCSVs/groupedgecrop_pi33_group_full_180625.csv,90,pi33,264.2546364062747,123.76394360180701,35.936702164492345,20.471851131304632,0.05350970227325297,0.06932168619292992,0.005530903639116087,0.010516335389957483,263.34667675293787,85.40203599717564,0.12986691463967087,0.1728024544696649,150.46705130537916,117.61853225064947,0.0048501220983363045,0.009042499159145064
./groupCSVs/groupedgecrop_pi34_group_full_180328.csv,0,pi34,335.8214870159735,151.16346460963797,30.91755629227884,26.313315546593394,0.019970952343469923,0.02621045083977803,0.007787513910032489,0.01233620893206796,286.0123586336562,84.44535109846086,0.06305178904884443,0.08247246634410751,196.0616153033985,149.58175354794645,0.00775617903664445,0.012720946547520819
./groupCSVs/groupedgecrop_pi34_group_full_180329.csv,1,pi34,353.99649271298466,153.9734365664063,27.76989937502815,26.57587480516871,0.01554996783160269,0.021271463144329403,0.004499467971203941,0.007619609692607846,298.4092246243368,79.33555563156047,0.0684224759347411,0.09533925130139075,210.53768665658762,152.6225110854715,0.005419981464888814,0.00809537355812116
./groupCSVs/groupedgecrop_pi34_group_full_180330.csv,2,pi34,369.5372199897668,155.0238785088374,28.21899853072711,25.89816874215215,0.009962933550181678,0.01629198565225095,0.0008119600878579727,0.008496502680993378,300.50710632347864,77.77098627403679,0.036067337967336355,0.06066024971921624,221.68384103902125,147.6383539428928,0.0017398493619874545,0.008147390397333969
./groupCSVs/groupedgecrop_pi34_group_full_180331.csv,3,pi34,397.4072430070418,157.88235935187126,21.220583633137856,23.980541162796715,0.007435989034010998,0.01205941420399142,0.0001887146195651062,0.007702079705891812,310.9832239767506,77.45167352599988,0.0457916485487945,0.07805962997251306,243.59805678791307,150.76260402987927,0.003417978358017355,0.00706120783632551
./groupCSVs/groupedgecrop_pi34_group_full_180401.csv,4,pi34,411.1626918492131,157.02632224797048,24.16299661177635,24.794315989669528,0.005333503587787841,0.008262625262596253,0.00423959689325436,0.010330037438357722,313.60046324285764,68.32194742182915,0.04349389944280531,0.062179108867838555,254.71299236894657,153.1005785199535,-0.0010250728410036072,0.0035737535717683118
./groupCSVs/groupedgecrop_pi34_group_full_180402.csv,5,pi34,394.28154906991983,150.98871273396637,23.957841521245598,24.238924163371795,0.0040716167868724736,0.008848880736826374,0.0027156949061707767,0.008186673803949026,292.00581162155277,86.52576301352657,0.008267295796005575,0.035689543361261504,246.99182068350285,140.9679309106728,0.000786989729848694,0.0038255765251012674
./groupCSVs/groupedgecrop_pi34_group_full_180403.csv,6,pi34,375.5235688094989,150.70622362146057,28.29348476277868,25.824210779890766,0.0060865426182201785,0.010192683542681578,0.00731233120397252,0.011247649466331801,288.22340495362613,81.65021485663368,0.05126251769178273,0.07246114476200623,228.47332143027563,143.3885535655156,0.0003750806287238913,0.005495160289968644
./groupCSVs/groupedgecrop_pi41_group_full_180421.csv,0,pi41,155.75258745588837,65.8310889997719,11.147490092766418,13.993818856457839,0.018388158266848555,0.0239995735853666,0.004791154200140865,0.007568720643341794,128.1881116674007,45.42948360692621,0.011731504025745715,0.02387121233770601,93.65617827134965,58.748980259611564,0.002796102029288582,0.004352614873819869
